UserName,Disambiguation,Program Viewer,Errors,Implicits,Scenario,Time,Condition,Perceived correctness,Future trust,Easiness,Confidence,Programming XP,ProgrammingLevel,,,Errors,BI,BI+CC,BI+PN,,,Disambiguation,Program Viewer,,Errors,,,,,,,,,,Trust,,,,,,,,
user5139,FALSE,FALSE,1,5,amazonchair,213,BI,7,5,6,7,Less than 10 years,2,,T1,bank,"2,6","0,8","2,0",,BI,FALSE,FALSE,,bank,,,amazonchair,,,hydrogens,,,,bank,,,amazonchair,,,hydrogens,,
user3176,FALSE,FALSE,4,2,bank,574,BI,6,7,7,6,Less than 5 years,1,,T2,amazonchair,"2,7","1,3","1,2",,BI+CC,TRUE,FALSE,,BI,BI+CC,BI+PN,BI,BI+CC,BI+PN,BI,BI+CC,BI+PN,,BI,BI+CC,BI+PN,BI,BI+CC,BI+PN,BI,BI+CC,BI+PN
user4082,FALSE,FALSE,4,2,bank,159,BI,6,6,7,6,Less than 5 years,1,,T3,hydrogens,"3,3","1,1","0,0",,BI+PN,FALSE,TRUE,,4,0,1,1,0,0,3,3,0,,7,6,7,5,5,6,2,1,7
user4082,FALSE,TRUE,0,5,amazonchair,307,BI+PN,5,6,7,5,Less than 5 years,1,,,,,,,,,,,,4,0,2,1,4,1,0,0,0,,6,7,3,6,3,6,2,7,3
user4082,TRUE,FALSE,3,4,hydrogens,255,BI+CC,2,1,5,2,Less than 5 years,1,,,Times,BI,BI+CC,BI+PN,,,,,,6,0,4,1,1,0,7,3,0,,6,7,7,5,5,7,1,6,7
user6045,TRUE,FALSE,0,2,bank,413,BI+CC,7,6,6,7,Less than 10 years,2,,,bank,"248,875","342,8","233,3333333",,,,,,5,2,1,0,0,2,,0,,,7,7,6,5,6,5,,6,
user6045,FALSE,FALSE,1,5,amazonchair,441,BI,7,6,6,7,Less than 10 years,2,,,amazonchair,"273,8333333",301,292,,,,,,1,2,,5,,0,,0,,,5,7,,6,,6,,2,
user6045,FALSE,TRUE,0,4,hydrogens,637,BI+PN,7,7,5,7,Less than 10 years,2,,,hydrogens,192,"363,2",354,,,,,,1,,,8,,5,,0,,,6,,,7,,5,,1,
user3629,FALSE,FALSE,6,3,bank,776,BI,5,6,5,5,None,0,,,,,,,,,,,,0,,,,,1,,0,,,5,,,,,5,,4,
user3629,FALSE,TRUE,1,5,amazonchair,711,BI+PN,6,6,5,6,None,0,,,Count,BI,BI+CC,BI+PN,,,,,,4,,,,,1,,3,,,5,,,,,4,,1,
user9820,TRUE,FALSE,0,2,bank,267,BI+CC,7,7,7,7,Less than 10 years,2,,,bank,10,5,4,,,,,,0,,,,,1,,,,,4,,,,,6,,,
user3629,TRUE,FALSE,0,4,hydrogens,416,BI+CC,7,7,7,7,None,0,,,amazonchair,6,4,9,,,,,,1,,,,,,,,,,7,,,,,,,,
user9820,FALSE,FALSE,1,5,amazonchair,220,BI,7,5,6,7,Less than 10 years,2,,,hydrogens,3,8,3,,,,,,,,,,,,,,,,,,,,,,,,
user9820,TRUE,FALSE,0,2,bank,214,BI+CC,7,7,7,7,Less than 10 years,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
user9820,FALSE,FALSE,0,5,amazonchair,157,BI,7,5,6,7,Less than 10 years,2,,,Implicits,<2,2,3,4,5,>5,,,,,,,,,,,,,,,,,,,,,
user9820,FALSE,TRUE,0,4,hydrogens,354,BI+PN,7,3,2,7,Less than 10 years,2,,,bank,1,14,4,0,0,0,,,,,,,,,,,,,,,,,,,,,
user9367,FALSE,TRUE,1,2,bank,828,BI+PN,7,7,7,7,Less than 10 years,2,,,amazonchair,1,0,0,1,17,0,,,,,,,,,,,,,,,,,,,,,
user9367,TRUE,FALSE,0,4,amazonchair,503,BI+CC,7,5,5,7,Less than 10 years,2,,,hydrogens,1,0,0,13,0,0,,,,,,,,,,,,,,,,,,,,,
user10726,TRUE,FALSE,2,2,bank,563,BI+CC,7,7,7,7,Less than 5 years,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
user10726,FALSE,FALSE,5,5,amazonchair,410,BI,6,6,5,6,Less than 5 years,1,,,Times,bank,amazonchair,hydrogens,,,,,,,,,,,,,,,,,,,,,,,,
user10726,FALSE,TRUE,0,4,hydrogens,19298,BI+PN,7,7,7,7,Less than 5 years,1,,,BI,249,274,192,,,,,,,,,,,,,,,,,,,,,,,,
user11028,FALSE,FALSE,5,3,bank,365,BI,7,7,7,7,Less than 5 years,1,,,BI+CC,343,301,363,,,,,,,,,,,,,,,,,,,,,,,,
user11028,FALSE,TRUE,0,5,amazonchair,296,BI+PN,7,7,7,7,Less than 5 years,1,,,BI+PN,233,292,354,,,,,,,,,,,,,,,,,,,,,,,,
user11028,TRUE,FALSE,3,4,hydrogens,529,BI+CC,7,6,7,7,Less than 5 years,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
user11330,FALSE,TRUE,2,2,bank,266,BI+PN,6,3,6,6,Less than 10 years,2,,,,BI,BI+CC,BI+PN,,,,,,,,,,,,,,,,,,,,,,,,
user11330,TRUE,FALSE,4,5,amazonchair,206,BI+CC,6,3,6,6,Less than 10 years,2,,,Averages,"2,7","1,1","1,2",,,,,,,,,,,,,,,,,,,,,,,,
user11330,FALSE,FALSE,3,4,hydrogens,185,BI,5,2,4,5,Less than 10 years,2,,,SD,"2,6","1,4","1,5",,,,,,,,,,,,,,,,,,,,,,,,
user5592,TRUE,FALSE,2,2,bank,257,BI+CC,7,7,6,7,Less than 20 years,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
user5592,FALSE,FALSE,8,5,amazonchair,202,BI,7,7,6,7,Less than 20 years,4,,,Username,First scenario,T1,T2,T3,T1,T2,T3,Sex,Age,XP,Data extraction frequency,Programming Experience,,,,,,,,,,,,,,,
user5894,FALSE,FALSE,1,2,bank,117,BI,6,5,6,6,Less than 15 years,3,,,user1817,TB-Start,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,Male,26,4,Less than 10% of the time,Less than 15 years,,,,,,,,,,,,,,,
user5894,FALSE,TRUE,2,5,amazonchair,257,BI+PN,5,5,4,5,Less than 15 years,3,,,user458,TA-Start,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Male,27,4,Several times a year,Less than 15 years,,,,,,,,,,,,,,,
user10575,FALSE,FALSE,1,0,bank,365,BI,7,6,7,7,Less than 20 years,4,,,user2572,TA-Start,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Male,25,3,,Less than 15 years,,,,,,,,,,,,,,,
user10575,FALSE,TRUE,0,0,amazonchair,464,BI+PN,7,6,7,7,Less than 20 years,4,,,user2421,TC-Start,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,Female,22,4,Several times a month,Less than 10 years,,,,,,,,,,,,,,,
user10575,TRUE,FALSE,0,0,hydrogens,51135,BI+CC,6,6,5,6,Less than 20 years,4,,,user2270,TB-Start,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,Male,32,5,Several times a year,Less than 15 years,,,,,,,,,,,,,,,
user6347,FALSE,FALSE,0,2,bank,163,BI,7,5,6,7,Less than 15 years,3,,,user3931,TA-Start,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Male,22,1,Never,Less than 5 years,,,,,,,,,,,,,,,
user6347,FALSE,TRUE,5,5,amazonchair,216,BI+PN,7,5,6,7,Less than 15 years,3,,,user3780,TC-Start,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,Male,23,3,Several times a month,Less than 15 years,,,,,,,,,,,,,,,
user6347,TRUE,FALSE,0,4,hydrogens,287,BI+CC,7,2,5,7,Less than 15 years,3,,,user4988,TB-Start,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,Male,27,5,Several times a year,Less than 10 years,,,,,,,,,,,,,,,
user5894,FALSE,FALSE,4,2,bank,98,BI,6,5,6,6,Less than 15 years,3,,,user5139,TC-Start,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,Male,30,5,Several times a year,Less than 10 years,,,,,,,,,,,,,,,
user5894,FALSE,TRUE,1,5,amazonchair,197,BI+PN,5,5,4,5,Less than 15 years,3,,,user4233,TC-Start,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,Male,27,3,Several times a year,Less than 5 years,,,,,,,,,,,,,,,
user5894,TRUE,FALSE,0,4,hydrogens,329,BI+CC,1,1,2,1,Less than 15 years,3,,,user3478,TA-Start,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Male,27,3,Several times a week,Less than 15 years,,,,,,,,,,,,,,,
user8612,FALSE,FALSE,0,2,bank,150,BI,6,4,4,6,Less than 10 years,2,,,user3176,TB-Start,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,Male,27,2,Never,Less than 5 years,,,,,,,,,,,,,,,
user8612,FALSE,TRUE,1,5,amazonchair,292,BI+PN,6,4,2,6,Less than 10 years,2,,,user6498,TC-Start,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,Female,19,1,Never,Less than 5 years,,,,,,,,,,,,,,,
user8612,TRUE,FALSE,0,4,hydrogens,652,BI+CC,6,4,3,6,Less than 10 years,2,,,user4082,TB-Start,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,Female,23,3,Several times a month,Less than 5 years,,,,,,,,,,,,,,,
user9367,FALSE,TRUE,4,2,bank,76,BI+PN,7,7,7,7,Less than 10 years,2,,,user6045,TC-Start,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,Male,29,3,Several times a week,Less than 10 years,,,,,,,,,,,,,,,
user9367,TRUE,FALSE,1,5,amazonchair,157,BI+CC,7,5,5,7,Less than 10 years,2,,,user3629,TB-Start,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,Male,32,3,Several times a month,None,,,,,,,,,,,,,,,
user9367,FALSE,FALSE,0,4,hydrogens,199,BI,5,2,3,5,Less than 10 years,2,,,user9820,TC-Start,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,Male,27,4,Several times a month,Less than 10 years,,,,,,,,,,,,,,,
user5743,FALSE,TRUE,1,3,bank,358,BI+PN,7,6,7,7,Less than 20 years,4,,,user11028,TB-Start,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,Male,19,1,Never,Less than 5 years,,,,,,,,,,,,,,,
user5743,TRUE,FALSE,0,5,amazonchair,338,BI+CC,7,6,7,7,Less than 20 years,4,,,user10726,TC-Start,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,Male,22,2,Several times a month,Less than 5 years,,,,,,,,,,,,,,,
user5743,FALSE,FALSE,7,4,hydrogens,688,BI,1,1,1,1,Less than 20 years,4,,,user11330,TA-Start,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Male,22,3,Several times a year,Less than 10 years,,,,,,,,,,,,,,,
user9065,FALSE,FALSE,1,3,bank,641,BI,6,7,7,6,Less than 5 years,1,,,user5592,TC-Start,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,Male,32,1,Every day,Less than 20 years,,,,,,,,,,,,,,,
user9065,FALSE,TRUE,1,5,amazonchair,307,BI+PN,5,6,6,5,Less than 5 years,1,,,user6347,TB-Start,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,Male,32,4,Several times a week,Less than 15 years,,,,,,,,,,,,,,,
user9065,TRUE,FALSE,3,4,hydrogens,1644,BI+CC,7,1,1,7,Less than 5 years,1,,,user5894,TB-Start,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,Male,32,3,Several times a month,Less than 15 years,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,user10575,TB-Start,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,Male,32,3,Several times a month,Less than 20 years,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,user8612,TB-Start,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,Male,34,2,Several times a year,Less than 10 years,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,user9367,TA-Start,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Male,26,4,Every day,Less than 10 years,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,user5743,TA-Start,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Male,30,3,Several times a month,Less than 20 years,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,user9065,TB-Start,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,Female,24,4,Several times a month,Less than 5 years,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,user13142,TA-Start,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Male,26,3,Several times a month,Less than 10 years,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,user13444,TC-Start,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,Male,25,4,Several times a year,Less than 10 years,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,user9669,TC-Start,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,Male,30,3,Never,Less than 15 years,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,user13897,TC-Start,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,Female,32,1,Never,None,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,user14048,TA-Start,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Male,25,3,Several times a year,Less than 10 years,,,,,,,,,,,,,,,
